stimulus_presentations_id,stimulus_block,stimulus_block_name,image_index,image_name,movie_frame_index,duration,start_time,end_time,start_frame,end_frame,is_change,is_image_novel,omitted,movie_repeat,flashes_since_change,trials_id,is_sham_change,active,stimulus_name
48,1,change_detection_behavior,0,im065,-99,0.25020000000000664,342.0163878311111,342.2665878311111,20098,20113,False,False,False,-99,2,7,False,True,Natural_Images_Lum_Matched_set_training_2017
49,1,change_detection_behavior,0,im065,-99,0.25020000000000664,342.7669978311111,343.0171978311111,20143,20158,False,False,False,-99,3,7,False,True,Natural_Images_Lum_Matched_set_training_2017
50,1,change_detection_behavior,0,im065,-99,0.25014000000004444,343.5177178311111,343.76785783111114,20188,20203,False,False,False,-99,4,7,False,True,Natural_Images_Lum_Matched_set_training_2017
51,1,change_detection_behavior,0,im065,-99,0.25020000000000664,344.2682478311111,344.51844783111113,20233,20248,False,False,False,-99,5,7,False,True,Natural_Images_Lum_Matched_set_training_2017
52,1,change_detection_behavior,0,im065,-99,0.25022999999998774,345.0188178311111,345.2690478311111,20278,20293,False,False,False,-99,6,8,False,True,Natural_Images_Lum_Matched_set_training_2017
53,1,change_detection_behavior,0,im065,-99,0.24990999999999985,345.7697178311111,346.0196278311111,20323,20338,False,False,False,-99,7,8,False,True,Natural_Images_Lum_Matched_set_training_2017
54,1,change_detection_behavior,0,im065,-99,0.25033999999999423,346.5200278311111,346.7703678311111,20368,20383,False,False,False,-99,8,8,False,True,Natural_Images_Lum_Matched_set_training_2017
55,1,change_detection_behavior,0,im065,-99,0.2501800000000003,347.27067783111113,347.52085783111113,20413,20428,False,False,False,-99,9,8,False,True,Natural_Images_Lum_Matched_set_training_2017
56,1,change_detection_behavior,0,im065,-99,0.250220000000013,348.0213178311111,348.2715378311111,20458,20473,False,False,False,-99,10,9,False,True,Natural_Images_Lum_Matched_set_training_2017
57,1,change_detection_behavior,8,omitted,-99,0.25,348.7719078311111,349.0219078311111,20503,20518,False,,True,-99,10,9,False,True,Natural_Images_Lum_Matched_set_training_2017
58,1,change_detection_behavior,0,im065,-99,0.2502799999999752,349.5225278311111,349.7728078311111,20548,20563,False,False,False,-99,11,9,False,True,Natural_Images_Lum_Matched_set_training_2017
59,1,change_detection_behavior,0,im065,-99,0.25021999999995614,350.27310783111113,350.5233278311111,20593,20608,False,False,False,-99,12,9,False,True,Natural_Images_Lum_Matched_set_training_2017
60,1,change_detection_behavior,3,im061,-99,0.2501800000000003,351.02375783111114,351.27393783111114,20638,20653,True,False,False,-99,0,9,False,True,Natural_Images_Lum_Matched_set_training_2017
61,1,change_detection_behavior,3,im061,-99,0.25027000000000044,351.7743778311111,352.0246478311111,20683,20698,False,False,False,-99,1,9,False,True,Natural_Images_Lum_Matched_set_training_2017
62,1,change_detection_behavior,3,im061,-99,0.2501100000000065,352.52506783111113,352.77517783111114,20728,20743,False,False,False,-99,2,9,False,True,Natural_Images_Lum_Matched_set_training_2017
63,1,change_detection_behavior,3,im061,-99,0.25021999999995614,353.27555783111114,353.5257778311111,20773,20788,False,False,False,-99,3,9,False,True,Natural_Images_Lum_Matched_set_training_2017
64,1,change_detection_behavior,3,im061,-99,0.25015999999999394,354.0261778311111,354.2763378311111,20818,20833,False,False,False,-99,4,9,False,True,Natural_Images_Lum_Matched_set_training_2017
65,1,change_detection_behavior,8,omitted,-99,0.25,354.7767678311111,355.0267678311111,20863,20878,False,,True,-99,4,9,False,True,Natural_Images_Lum_Matched_set_training_2017
66,1,change_detection_behavior,3,im061,-99,0.25018999999997504,355.52740783111113,355.7775978311111,20908,20923,False,False,False,-99,5,10,False,True,Natural_Images_Lum_Matched_set_training_2017
67,1,change_detection_behavior,3,im061,-99,0.2502099999999814,356.27801783111113,356.5282278311111,20953,20968,False,False,False,-99,6,10,False,True,Natural_Images_Lum_Matched_set_training_2017
68,1,change_detection_behavior,3,im061,-99,0.2501800000000003,357.0286578311111,357.2788378311111,20998,21013,False,False,False,-99,7,10,False,True,Natural_Images_Lum_Matched_set_training_2017
69,1,change_detection_behavior,3,im061,-99,0.25020000000000664,357.7792478311111,358.0294478311111,21043,21058,False,False,False,-99,8,10,False,True,Natural_Images_Lum_Matched_set_training_2017
70,1,change_detection_behavior,6,im085,-99,0.25013000000001284,358.5300678311111,358.78019783111114,21088,21103,True,False,False,-99,0,10,False,True,Natural_Images_Lum_Matched_set_training_2017
71,1,change_detection_behavior,6,im085,-99,0.250220000000013,359.2804578311111,359.5306778311111,21133,21148,False,False,False,-99,1,10,False,True,Natural_Images_Lum_Matched_set_training_2017
72,1,change_detection_behavior,6,im085,-99,0.25033999999999423,360.0310678311111,360.2814078311111,21178,21193,False,False,False,-99,2,10,False,True,Natural_Images_Lum_Matched_set_training_2017
73,1,change_detection_behavior,6,im085,-99,0.25020000000000664,360.7816978311111,361.0318978311111,21223,21238,False,False,False,-99,3,10,False,True,Natural_Images_Lum_Matched_set_training_2017
74,1,change_detection_behavior,6,im085,-99,0.2501800000000003,361.5323078311111,361.7824878311111,21268,21283,False,False,False,-99,4,10,False,True,Natural_Images_Lum_Matched_set_training_2017
75,1,change_detection_behavior,6,im085,-99,0.25020000000000664,362.2829178311111,362.5331178311111,21313,21328,False,False,False,-99,5,10,False,True,Natural_Images_Lum_Matched_set_training_2017
76,1,change_detection_behavior,6,im085,-99,0.2503099999999563,363.03350783111114,363.2838178311111,21358,21373,False,False,False,-99,6,11,False,True,Natural_Images_Lum_Matched_set_training_2017
77,1,change_detection_behavior,6,im085,-99,0.25022999999998774,363.7841278311111,364.0343578311111,21403,21418,False,False,False,-99,7,11,False,True,Natural_Images_Lum_Matched_set_training_2017
78,1,change_detection_behavior,8,omitted,-99,0.25,364.5347378311111,364.7847378311111,21448,21463,False,,True,-99,7,11,False,True,Natural_Images_Lum_Matched_set_training_2017
79,1,change_detection_behavior,6,im085,-99,0.250220000000013,365.2853278311111,365.5355478311111,21493,21508,False,False,False,-99,8,11,False,True,Natural_Images_Lum_Matched_set_training_2017
80,1,change_detection_behavior,6,im085,-99,0.25021000000003824,366.0359578311111,366.28616783111113,21538,21553,False,False,False,-99,9,12,False,True,Natural_Images_Lum_Matched_set_training_2017
81,1,change_detection_behavior,6,im085,-99,0.2502499999999941,366.78656783111114,367.03681783111114,21583,21598,False,False,False,-99,10,13,False,True,Natural_Images_Lum_Matched_set_training_2017
82,1,change_detection_behavior,6,im085,-99,0.2500699999999938,367.5373278311111,367.7873978311111,21628,21643,False,False,False,-99,11,13,False,True,Natural_Images_Lum_Matched_set_training_2017
83,1,change_detection_behavior,6,im085,-99,0.2502900000000068,368.2878178311111,368.5381078311111,21673,21688,False,False,False,-99,12,13,False,True,Natural_Images_Lum_Matched_set_training_2017
84,1,change_detection_behavior,6,im085,-99,0.25020000000000664,369.0384278311111,369.2886278311111,21718,21733,False,False,False,-99,13,13,False,True,Natural_Images_Lum_Matched_set_training_2017
