id,imaging_depth,targeted_structure,cre_line,reporter_line,donor_name,specimen_name,tags,failed
1018027837,195,VISl,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),484627,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-484627,[],False
627823571,375,VISp,Tlx3-Cre_PL56,Ai148(TIT2L-GC6f-ICL-tTA2),337458,Tlx3-Cre_PL56;Ai148-337458,[],False
1046279796,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),533162,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-533162,[],False
612536909,175,VISrl,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),325932,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-325932,[],False
660491622,275,VISrl,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),332396,Sst-IRES-Cre;Ai148(CAM)-332396,[],False
812858755,175,VISp,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),431023,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-431023,[],False
825183217,175,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),429952,Vip-IRES-Cre;Ai148-429952,[],False
566759225,275,VISam,Cux2-CreERT2,Ai93(TITL-GCaMP6f),283284,Cux2-CreERT2;Camk2a-tTA;Ai93-283284,[],False
511510797,175,VISal,Cux2-CreERT2,Ai93(TITL-GCaMP6f),225036,Cux2-CreERT2;Camk2a-tTA;Ai93-225036,[],False
1018028172,225,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),453990,Vip-IRES-Cre;Ai148-453990,[],False
511510836,275,VISpm,Cux2-CreERT2,Ai93(TITL-GCaMP6f),229109,Cux2-CreERT2;Camk2a-tTA;Ai93-229109,[],False
1018027865,225,VISl,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),438912,Vip-IRES-Cre;Ai148-438912,[],False
644013840,275,VISl,Slc17a7-IRES2-Cre,Ai93(TITL-GCaMP6f),347748,Slc17a7-IRES2-Cre;Camk2a-tTA;Ai93-347748,[],False
648377366,375,VISp,Tlx3-Cre_PL56,Ai148(TIT2L-GC6f-ICL-tTA2),352889,Tlx3-Cre_PL56;Ai148-352889,[],False
557986062,335,VISpm,Nr5a1-Cre,Ai93(TITL-GCaMP6f),271727,Nr5a1-Cre;Camk2a-tTA;Ai93-271727,[],False
571541563,175,VISrl,Cux2-CreERT2,Ai93(TITL-GCaMP6f),283278,Cux2-CreERT2;Camk2a-tTA;Ai93-283278,[],False
627823692,550,VISp,Ntsr1-Cre_GN220,Ai148(TIT2L-GC6f-ICL-tTA2),339814,Ntsr1-Cre_GN220;Ai148-339814,[],False
565039910,375,VISpm,Emx1-IRES-Cre,Ai93(TITL-GCaMP6f),276949,Emx1-IRES-Cre;Camk2a-tTA;Ai93-276949,[],False
558476280,350,VISl,Nr5a1-Cre,Ai93(TITL-GCaMP6f),271727,Nr5a1-Cre;Camk2a-tTA;Ai93-271727,[],False
601259497,275,VISp,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),315122,Sst-IRES-Cre;Ai148(CAM)-315122,[],False
657078117,175,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),357433,Vip-IRES-Cre;Ai148-357433,[],False
969421516,175,VISp,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),467954,Vip-IRES-Cre;Ai148-467954,[],False
511510667,275,VISp,Cux2-CreERT2,Ai93(TITL-GCaMP6f),222420,Cux2-CreERT2;Camk2a-tTA;Ai93-222420,[],False
647598517,175,VISpm,Vip-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),351413,Vip-IRES-Cre;Ai148-351413,[],False
676024664,275,VISl,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),369497,Pvalb-IRES-Cre;Ai162-369497,[],False
577720109,375,VISam,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),292490,Rbp4-Cre_KL100;Camk2a-tTA;Ai93-292490,[],False
638870774,275,VISpm,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),340849,Sst-IRES-Cre;Ai148-340849,[],False
511510627,275,VISl,Rorb-IRES2-Cre,Ai93(TITL-GCaMP6f),222431,Rorb-IRES2-Cre;Camk2a-tTA;Ai93-222431,[],False
529487170,275,VISl,Cux2-CreERT2,Ai93(TITL-GCaMP6f),244898,Cux2-CreERT2;Camk2a-tTA;Ai93-244898,[],False
598584901,375,VISpm,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),315118,Sst-IRES-Cre;Ai148(CAM)-315118,[],False
575302106,375,VISam,Rbp4-Cre_KL100,Ai93(TITL-GCaMP6f),291465,Rbp4-Cre_KL100;Camk2a-tTA;Ai93-291465,[],False
511510848,275,VISl,Cux2-CreERT2,Ai93(TITL-GCaMP6f),229109,Cux2-CreERT2;Camk2a-tTA;Ai93-229109,[],False
701048110,175,VISam,Cux2-CreERT2,Ai93(TITL-GCaMP6f),382421,Cux2-CreERT2;Camk2a-tTA;Ai93-382421,[],False
669239850,625,VISpm,Ntsr1-Cre_GN220,Ai148(TIT2L-GC6f-ICL-tTA2),370773,Ntsr1-Cre_GN220;Ai148-370773,[],False
686449283,185,VISp,Pvalb-IRES-Cre,Ai162(TIT2L-GC6s-ICL-tTA2),379518,Pvalb-IRES-Cre;Ai162-379518,[],False
582621871,375,VISp,Sst-IRES-Cre,Ai148(TIT2L-GC6f-ICL-tTA2),296462,Sst-IRES-Cre;Ai148(CAM)-296462,[],False
